filename,label,mean_intensity,std_intensity,variance_intensity,min_intensity,max_intensity,skewness,kurtosis,energy_intensity,entropy_intensity,glcm_contrast,glcm_dissimilarity,glcm_asm,glcm_correlation,glcm_energy,glcm_homogeneity,glcm_entropy,glcm_autocorrelation,glcm_idm,glcm_max_prob,glcm_variance,glcm_sum_avg,glcm_sum_entropy,glcm_cluster_shade
112.png,0,24.16545138888889,39.13595720908393,1531.623146671248,0,151,1.0884759658558294,-0.638264327509074,0.5146895334652862,1.7787495069305101,74.85195578976104,2.634148051213114,0.5018646784819949,0.9756658554349044,0.7084229656376263,0.7512926627040037,3.9545938785505297,2104.229741980474,0.7624593251059397,0.7100069735006973,7.69318942697565e-06,32639.999999999993,239.19601874964056,1515184.46343348
113.png,0,25.0765625,40.954021975397865,1677.2319159613714,0,143,1.1041372987000564,-0.6102037309811239,0.5202654963665447,1.767550016312199,79.97159243098505,2.707493996662257,0.5075414752506243,0.9762594052526343,0.7124184090063239,0.7532205796721543,3.9293944476841736,2294.0620815899583,0.7641584382592339,0.7139470013947001,7.778672875315154e-06,32640.0,249.70056132330143,1733653.329774172
114.png,0,23.143385416666668,38.12665360253694,1453.6417149278432,0,140,1.1225704118117799,-0.5715921604601397,0.5258569318353343,1.7295613884604744,69.78034322608006,2.5094237087354303,0.5130500721073366,0.9760995617719005,0.7162741158142001,0.758996397957227,3.8396370225028984,1978.548448396095,0.7702055085120529,0.7177824267782427,7.862556039771624e-06,32640.0,228.450371461857,1397206.5972628437
115.png,0,22.019427083333333,36.64228101531207,1342.6567580050996,0,129,1.1437182014657874,-0.5288697182051525,0.5317483590451914,1.6969390519315068,65.60417589415853,2.4410879244646013,0.5188759024939766,0.9756735690205275,0.7203294349330595,0.7627313436940601,3.769293374755802,1816.756206415621,0.773346053815131,0.7217747559274756,7.950316074839453e-06,32640.0,216.27664259736463,1238285.3875907348
116.png,0,22.520677083333332,37.86581328208573,1433.8198155137804,0,142,1.1666565768815271,-0.4791140606976265,0.5374472033073698,1.6890747299047237,70.03985607307749,2.526489892800831,0.5246709304051277,0.9756810384764704,0.7243408040779131,0.7644570829278946,3.7596955480494,1929.004271269177,0.7747341746342385,0.7257670850767085,8.038320036207892e-06,32640.0,225.2209898962378,1365100.8652077955
117.png,0,22.07171875,37.54371034250623,1409.5301862820093,0,139,1.195657247260488,-0.4066101155431112,0.5436050403406099,1.6714428115152877,69.26429403518168,2.5219882646780896,0.5309164956486336,0.9755373070581662,0.7286392662481951,0.7669185105855287,3.7222523087212074,1884.8679393305438,0.7763510714209915,0.7300557880055788,8.133490057585949e-06,32639.999999999993,224.323223247947,1330889.10884256
118.png,0,21.809409722222224,37.56809458705048,1411.361730901572,0,141,1.2261865954863091,-0.3306862348806132,0.5501208266905889,1.6532412363268996,70.38535936871351,2.52920616615041,0.5374644750417228,0.9751750558154622,0.733118806470662,0.7706227452340911,3.6818432060441704,1874.762029288703,0.779860283647187,0.7345188284518829,8.233188364253347e-06,32640.0,224.01254643365715,1333365.7628562183
119.png,0,20.401145833333334,35.603747345974064,1267.6268250759551,0,135,1.2574553995905098,-0.25304433547146976,0.5568996934702227,1.6208596819040393,65.42977878101348,2.434604684208561,0.5442378191743102,0.9743078468886468,0.7377239290794575,0.7751863395708789,3.6047574569359426,1672.1414574616456,0.7852091368679462,0.7390690376569038,8.335561869486387e-06,32640.0,209.1307466219519,1134865.1288779664
120.png,0,20.380034722222224,35.989783233870924,1295.2644972210164,0,145,1.2861430011799606,-0.18127119132151304,0.5629667073157998,1.6075630650621129,69.530283265646,2.517949323949936,0.5503949996270725,0.9732815187367728,0.7418853138337566,0.7774641132420064,3.5841011733147696,1697.4493549511851,0.7862217910416573,0.7432531380753138,8.43005676599259e-06,32639.999999999993,212.97498423096317,1171854.7347667746
121.png,0,20.22833333333333,36.22960608320831,1312.5843569444446,0,138,1.3197630241130829,-0.09326871501979195,0.57072570811796,1.5840905786474506,71.0111227336179,2.530077489014741,0.5581507055470294,0.9730741966795277,0.7470940438440237,0.7816935706401658,3.531748583150491,1707.7513423988844,0.7908326420886247,0.7484483960948396,8.548270563633398e-06,32639.999999999993,213.45683741049191,1195709.4238550053
